DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3272;P3273S1;P3273S2;P3273S4;P3273S5;P3273S6;P3274;P3275S1;P3275S2;P3275S4;P3275S5;P3275S6;P3275S7;P3275S8;P3275S9;P3275S10;P3276;P3277S1;P3277S2;P3277S3;P3277S4;P3277S5;P3277S6;P3277S7;P3277S8;P3277S9;P3277S10;P3277S11;P3277S12;P3277S13;P3278;P3279S1;P3279S2;P3279S3;P3279S4;P3279S5;P3279S6;P3280S1;P3280S2;P3280S3;P3280S4;P3280S5;P3280S6;P3280S7;P3280S8;P3280S9;P3280S10;P3280S11;P3281;P3282;P3283S1;P3283S2;P3283S3;P3283S4;P3283S5;P3283S6;P3283S7;P3283S8;P3283S9;P3283S10;P3283S11;P3283S12;P3283S13;P3284S1;P3284S2;P3284S3;P3284S4;P3284S5;P3285;P3286;P3287S1;P3287S2;P3287S3;P3287S4;P3504;P3288;P3289;P3290;P3291;P3291S1;P3292S1;P3292S2;P3292S3;P3292S4;P3292S5;P3292S6;P3292S7;P3292S8;P3292S9;P3292S10;P3292S11;P3293S1;P3293S2;P3293S3;P3293S4;P3293S5;P3293S6;P3293S7;P3293S8;P3293S9;P3294S1;P3294S2;P3294S3;P3294S4;P3294S5;P3294S6;P3294S7;P3294S8;P3294S9;P3294S10;P3294S11;P3294S12;P3295;P3296;P3297;P3298;P3299;P3300;P3301
600038;237;3;1;3;69.030462744;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;1;;;;;;;;;;;1;;;;;;;;;;;11;2;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;7
600048;237;2;1;2;78.42746978;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;2;;;1;1;1;1;1;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;2;;;;;;8
600054;237;1;1;1;63.259299745;1;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;8;2;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;;;;;6
600054;237;2;1;2;63.259299745;1;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;1;6000000;6000000;1;1;1;1;1;1;1;1;;;;1;1;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;;;2;;;;;;2
600058;237;2;1;2;67.430394602;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;1;1;;;;;;;;;;;6;4;2;;;;;;;;;;;;2;;;;;;;;;1;;1;;1;;;;;;;;;;2;;;;;;3
600059;237;2;1;2;94.331960548;2;;;;;;;;;;;;;;;;9;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;;;;;;;;;;9;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
600063;237;1;1;1;62.554208091;2;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;1
600067;237;2;1;2;77.885352392;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;6
600074;237;1;1;1;50.729212774;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
600083;237;3;2;1;46.005322915;2;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;1;;1;;;;;;;;;;;;;;;;;2;;;;1;;1;;;;;;;2;;;;;;6
600087;237;1;1;1;50.743027933;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;3;7;2;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;9;2;;;;;;1
600147;237;1;1;1;98.618237217;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;2;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;9;2;;;;;;12
600175;237;1;1;1;61.682065573;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;9;2;;;;;;6
600207;237;3;1;3;51.030957664;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;2;;;;1;;1;;;;;;;;;;;;;;;;2;;1;1;1;1;1;;;;;;;2;;;;;;1
600210;237;1;1;1;65.702608582;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;7;3;;700000;700000;;;;;;;;;;2;;;;;;;;;;2;1;;1;;;1;;;;;;;2;;;;;;11
600214;237;3;1;3;83.676689576;1;1;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
600216;237;2;1;2;57.570050538;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
600238;237;1;1;1;227.36282479;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;7
600249;237;4;1;4;1835.7044688;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;;;1;1;1;1;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;2;;;;;;4
600260;237;2;1;2;1017.9901444;2;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;1;;;;;;;2;;;;;;10
600281;237;3;1;3;910.93663474;1;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
600373;237;3;1;3;328.80326575;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;8;;1;;;;;;;;;;;;;;1;;;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;1;;;;;;;2;;;;;;6
